price,kilometers,vehicle_age_years,fuel_type,no_of_cylinders
129900,47566,3,Petrol,8
319900,8914,4,Petrol,6
149900,72205,5,Petrol,4
79900,49193,3,Petrol,4
154900,30,0,Petrol,4
209900,99174,7,Petrol,8
61900,52920,2,Petrol,4
139900,20450,2,Petrol,4
359900,100,2,Petrol,6
139900,22693,1,Petrol,4
69900,65627,5,Petrol,4
199900,21287,2,Petrol,4
374900,10906,1,Petrol,6
124900,77205,5,Petrol,4
146900,53078,3,Petrol,6
84900,74598,7,Petrol,4
129900,109000,7,Petrol,4
73900,74092,5,Petrol,4
199900,26706,5,Petrol,8
159900,32800,2,Petrol,4
390000,18000,1,Petrol,6
279900,14288,5,Petrol,6
80000,38755,3,Petrol,4
159900,25259,4,Petrol,4
48000,48000,4,Petrol,4
995000,14000,1,Petrol,8
1050,100,1,Petrol,8
1050,100,1,Petrol,8
1290,100,1,Petrol,8
1050,100,0,Petrol,8
1450,8000,6,Petrol,6
1890,300,1,Petrol,12
2450,500,0,Petrol,12
129000,89000,10,Petrol,6
199000,22000,2,Petrol,4
195000,88000,7,Petrol,4
195000,51000,6,Petrol,6
145000,118000,6,Petrol,8
149000,109000,6,Petrol,6
125000,88000,9,Petrol,6
87000,58000,6,Petrol,4
65000,31000,3,Electric,0
149000,2000,14,Petrol,8
247000,33561,4,Petrol,6
109000,74798,5,Petrol,4
125000,55129,5,Petrol,4
70000,97572,6,Petrol,6
269000,20998,3,Petrol,4
231000,62265,3,Petrol,4
170000,45537,7,Petrol,12
185000,67631,4,Petrol,8
49000,16934,1,Petrol,4
975000,2949,1,Petrol,8
180000,99321,5,Petrol,6
190000,82247,5,Electric,0
125000,68243,5,Petrol,4
80000,113165,5,Petrol,4
259000,53281,6,Petrol,6
86000,64283,6,Petrol,4
200000,45055,4,Petrol,4
205000,77290,3,Petrol,4
195000,15072,3,Petrol,4
250000,59455,5,Petrol,6
239000,66384,5,Petrol,6
65000,66026,4,Petrol,4
260000,62693,4,Petrol,6
199000,65072,5,Petrol,6
247000,63678,3,Petrol,6
193000,82299,5,Petrol,12
255000,52043,3,Petrol,6
258000,26443,2,Petrol,4
1499,102,0,Petrol,6
2249,0,0,Petrol,12
1099,13791,2,Petrol,12
2499,74,1,Petrol,8
949000,13870,2,Petrol,8
143900,91130,6,Petrol,8
1425,0,0,Petrol,8
89900,66214,5,Petrol,6
195000,39000,2,Petrol,6
325000,39900,4,Petrol,8
225000,1800,2,Petrol,4
769000,0,0,Petrol,6
1250,0,0,Petrol,6
1185,5000,2,Petrol,10
985000,0,0,Petrol,6
117000,12200,2,Petrol,8
69000,57200,4,Petrol,4
75000,94300,3,Petrol,6
115000,40700,2,Petrol,8
88000,29600,3,Petrol,4
125000,4800,2,Petrol,8
88000,85600,6,Petrol,8
77500,57000,4,Petrol,4
389000,44000,3,Petrol,8
125000,110000,9,Petrol,8
345000,60000,5,Petrol,8
27000,66000,4,Petrol,4
57000,63000,5,Petrol,4
199000,39000,3,Petrol,8
379000,42000,4,Petrol,6
499000,10000,2,Petrol,8
289000,84000,4,Petrol,6
309000,71000,4,Petrol,8
395000,45000,22,Petrol,12
155000,138000,11,Petrol,8
550000,59000,7,Petrol,12
219000,105000,4,Petrol,6
389000,0,0,Petrol,6
565000,63000,3,Petrol,8
435000,57000,11,Petrol,8
209000,138000,3,Petrol,6
38000,56000,5,Petrol,4
