Name,Author,User Rating,Reviews,Price,Date,Genre
10-Day Green Smoothie Cleanse,JJ Smith,4.7,17350,8,12-1-16,Non Fiction
11/22/63: A Novel,Stephen King,4.6,2052,22,9-5-2011,Fiction
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,18979,15,5-4-18,Non Fiction
1984 (Signet Classics),George Orwell,4.7,21424,6,1-1-17,Fiction
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,7665,12,2-1-19,Non Fiction
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,12643,11,9-5-2011,Fiction
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,19735,30,6-1-14,Fiction
A Gentleman in Moscow: A Novel,Amor Towles,4.7,19699,15,1-1-17,Fiction
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,5983,3,5-4-18,Non Fiction
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,12-1-16,Fiction
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,1-1-17,Fiction
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460,2,2-10-10,Non Fiction
A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149,32,9-5-2011,Non Fiction
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,5153,5,5-4-18,Fiction
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,5013,17,8-1-09,Non Fiction
Alexander Hamilton,Ron Chernow,4.8,9198,13,12-1-16,Non Fiction
All the Light We Cannot See,Anthony Doerr,4.6,36348,14,8-1-15,Fiction
Allegiant,Veronica Roth,3.9,6310,13,7-10-13,Fiction
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,15921,9,8-1-15,Non Fiction
And the Mountains Echoed,Khaled Hosseini,4.3,12159,13,7-10-13,Fiction
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,798,5,8-1-09,Non Fiction
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,9374,9,1-1-17,Non Fiction
"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,491,14,2-10-10,Non Fiction
Baby Touch and Feel: Animals,DK,4.6,5360,5,8-1-15,Non Fiction
Balance (Angie's Extreme Stress Menders),Angie Grace,4.6,1909,11,8-1-15,Non Fiction
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,1296,24,10-10-12,Non Fiction
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,615,21,2-10-10,Non Fiction
Becoming,Michelle Obama,4.8,61133,11,2-1-19,Non Fiction
Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.8,11113,15,8-1-15,Non Fiction
Between the World and Me,Ta-Nehisi Coates,4.7,10070,13,12-1-16,Non Fiction
Born to Run,Bruce Springsteen,4.7,3729,18,12-1-16,Non Fiction
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,9769,13,8-1-09,Fiction
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,471,8,2-10-10,Non Fiction
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2-1-19,Fiction
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,4505,0,9-5-2011,Fiction
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,16244,18,2-1-19,Non Fiction
Capital in the Twenty First Century,Thomas Piketty,4.5,2884,28,6-1-14,Non Fiction
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,10-10-12,Fiction
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,4.7,4761,16,12-1-16,Non Fiction
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,9-5-2011,Non Fiction
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,6143,8,5-4-18,Fiction
Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,4022,4,8-1-15,Non Fiction
Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,3871,5,8-1-15,Non Fiction
Cutting for Stone,Abraham Verghese,4.6,4866,11,9-5-2011,Fiction
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,1329,10,7-10-13,Non Fiction
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,4642,13,7-10-13,Non Fiction
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,1541,4,8-1-09,Fiction
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,1924,8,2-10-10,Fiction
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2094,4,9-5-2011,Fiction
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,5-4-18,Fiction
Decision Points,George W. Bush,4.6,2137,17,2-10-10,Non Fiction
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,1651,15,2-10-10,Non Fiction
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105,7-10-13,Non Fiction
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105,6-1-14,Non Fiction
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,6812,0,7-10-13,Fiction
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,3837,15,8-1-09,Fiction
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,6540,22,6-1-14,Fiction
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6,7955,5,2-1-19,Non Fiction
Divergent,Veronica Roth,4.6,27098,15,6-1-14,Fiction
Divergent / Insurgent,Veronica Roth,4.5,17684,6,6-1-14,Fiction
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,4.6,37,6,8-1-09,Non Fiction
Doctor Sleep: A Novel,Stephen King,4.7,15845,13,7-10-13,Fiction
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,3181,12,8-1-09,Fiction
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,5062,6,5-4-18,Fiction
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,4786,8,1-1-17,Fiction
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4,5-4-18,Fiction
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4,2-1-19,Fiction
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,12619,8,2-1-19,Fiction
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,9089,8,2-1-19,Fiction
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,5470,6,5-4-18,Fiction
Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,4.8,5118,20,12-1-16,Fiction
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,4.6,2134,5,8-1-15,Non Fiction
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,2525,16,2-10-10,Non Fiction
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,720,1,8-1-09,Non Fiction
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,956,14,8-1-09,Non Fiction
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9,9-5-2011,Non Fiction
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9,10-10-12,Non Fiction
Eclipse (Twilight Sagas),Stephenie Meyer,4.7,5505,7,8-1-09,Fiction
Eclipse (Twilight),Stephenie Meyer,4.7,5505,18,8-1-09,Fiction
Educated: A Memoir,Tara Westover,4.7,28729,15,2-1-19,Non Fiction
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,4.7,5413,9,8-1-15,Non Fiction
Fahrenheit 451,Ray Bradbury,4.6,10721,8,5-4-18,Fiction
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,4370,15,12-1-16,Fiction
Fear: Trump in the White House,Bob Woodward,4.4,6042,2,5-4-18,Non Fiction
Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,13677,6,5-4-18,Non Fiction
First 100 Words,Roger Priddy,4.7,17323,4,5-4-18,Non Fiction
Food Rules: An Eater's Manual,Michael Pollan,4.4,1555,9,2-10-10,Non Fiction
Frozen (Little Golden Book),RH Disney,4.7,3642,0,6-1-14,Fiction
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,1215,9,2-10-10,Non Fiction
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,9-5-2011,Fiction
George Washington's Sacred Fire,Peter A. Lillback,4.5,408,20,2-10-10,Non Fiction
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,4799,16,7-10-13,Non Fiction
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2-1-19,Fiction
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6,7660,12,2-1-19,Non Fiction
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12,2-1-19,Non Fiction
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,1365,11,8-1-09,Non Fiction
Go Set a Watchman: A Novel,Harper Lee,3.6,14982,19,8-1-15,Fiction
Going Rogue: An American Life,Sarah Palin,4.6,1636,6,8-1-09,Non Fiction
Gone Girl,Gillian Flynn,4,57271,9,6-1-14,Fiction
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,10141,6,2-1-19,Non Fiction
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,10-10-12,Non Fiction
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2-1-19,Fiction
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7,7-10-13,Fiction
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.6,5972,10,6-1-14,Non Fiction
Guts,Raina Telgemeier,4.8,5476,7,2-1-19,Non Fiction
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,5867,54,12-1-16,Non Fiction
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,4148,11,7-10-13,Non Fiction
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,4.9,19622,30,12-1-16,Fiction
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4,23973,12,12-1-16,Fiction
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,7758,18,2-1-19,Fiction
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,4.9,3146,30,1-1-17,Fiction
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,10052,22,12-1-16,Fiction
Harry Potter Coloring Book,Scholastic,4.7,3564,9,8-1-15,Non Fiction
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.8,13471,52,12-1-16,Fiction
Have a Little Faith: A True Story,Mitch Albom,4.8,1930,4,8-1-09,Non Fiction
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10,9-5-2011,Non Fiction
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10,10-10-12,Non Fiction
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14,12-1-16,Non Fiction
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14,1-1-17,Non Fiction
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,4.8,3776,22,5-4-18,Non Fiction
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,5-4-18,Non Fiction
Humans of New York,Brandon Stanton,4.8,3490,15,6-1-14,Non Fiction
Humans of New York : Stories,Brandon Stanton,4.9,2812,17,8-1-15,Non Fiction
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,4896,17,7-10-13,Non Fiction
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,9737,7,2-1-19,Non Fiction
"I, Alex Cross",James Patterson,4.6,1320,7,8-1-09,Fiction
If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,4,2-1-19,Fiction
If I Stay,Gayle Forman,4.3,7153,9,6-1-14,Fiction
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.4,4571,21,9-5-2011,Non Fiction
Inferno,Dan Brown,4.1,29651,14,7-10-13,Fiction
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.6,5299,20,9-5-2011,Fiction
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,7396,13,5-4-18,Non Fiction
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.8,7062,12,2-1-19,Non Fiction
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,12-1-16,Non Fiction
JOURNEY TO THE ICE P,RH Disney,4.6,978,0,6-1-14,Fiction
Joyland (Hard Case Crime),Stephen King,4.5,4748,12,7-10-13,Fiction
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.6,8393,17,1-1-17,Non Fiction
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,11391,12,7-10-13,Non Fiction
Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,8634,25,10-10-12,Non Fiction
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,10,10-10-12,Non Fiction
