Series_Title,Released_Year,Rating,Runtime,Genre,IMDB_Rating,Gross
The Shawshank Redemption,1994,A,142 min,Drama,9.3,28341469
The Godfather,1972,A,175 min,"Crime, Drama",9.2,134966411
The Dark Knight,2008,UA,152 min,"Action, Crime, Drama",9,534858444
The Godfather: Part II,1974,A,202 min,"Crime, Drama",9,57300000
12 Angry Men,1957,U,96 min,"Crime, Drama",9,4360000
The Lord of the Rings: The Return of the King,2003,U,201 min,"Action, Adventure, Drama",8.9,377845905
Pulp Fiction,1994,A,154 min,"Crime, Drama",8.9,107928762
Schindler's List,1993,A,195 min,"Biography, Drama, History",8.9,96898818
Inception,2010,UA,148 min,"Action, Adventure, Sci-Fi",8.8,292576195
Fight Club,1999,A,139 min,Drama,8.8,37030102
The Lord of the Rings: The Fellowship of the Ring,2001,U,178 min,"Action, Adventure, Drama",8.8,315544750
Forrest Gump,1994,UA,142 min,"Drama, Romance",8.8,330252182
"Il buono, il brutto, il cattivo",1966,A,161 min,Western,8.8,6100000
The Lord of the Rings: The Two Towers,2002,UA,179 min,"Action, Adventure, Drama",8.7,342551365
The Matrix,1999,A,136 min,"Action, Sci-Fi",8.7,171479930
Goodfellas,1990,A,146 min,"Biography, Crime, Drama",8.7,46836394
Star Wars: Episode V - The Empire Strikes Back,1980,UA,124 min,"Action, Adventure, Fantasy",8.7,290475067
One Flew Over the Cuckoo's Nest,1975,A,133 min,Drama,8.7,112000000
Hamilton,2020,PG-13,160 min,"Biography, Drama, History",8.6,
Gisaengchung,2019,A,132 min,"Comedy, Drama, Thriller",8.6,53367844
Soorarai Pottru,2020,U,153 min,Drama,8.6,
Interstellar,2014,UA,169 min,"Adventure, Drama, Sci-Fi",8.6,188020017
Cidade de Deus,2002,A,130 min,"Crime, Drama",8.6,7563397
Sen to Chihiro no kamikakushi,2001,U,125 min,"Animation, Adventure, Family",8.6,10055859
Saving Private Ryan,1998,R,169 min,"Drama, War",8.6,216540909
The Green Mile,1999,A,189 min,"Crime, Drama, Fantasy",8.6,136801374
La vita è bella,1997,U,116 min,"Comedy, Drama, Romance",8.6,57598247
Se7en,1995,A,127 min,"Crime, Drama, Mystery",8.6,100125643
The Silence of the Lambs,1991,A,118 min,"Crime, Drama, Thriller",8.6,130742922
Star Wars,1977,UA,121 min,"Action, Adventure, Fantasy",8.6,322740140
Seppuku,1962,,133 min,"Action, Drama, Mystery",8.6,
Shichinin no samurai,1954,U,207 min,"Action, Adventure, Drama",8.6,269061
It's a Wonderful Life,1946,PG,130 min,"Drama, Family, Fantasy",8.6,
Joker,2019,A,122 min,"Crime, Drama, Thriller",8.5,335451311
Whiplash,2014,A,106 min,"Drama, Music",8.5,13092000
The Intouchables,2011,UA,112 min,"Biography, Comedy, Drama",8.5,13182281
The Prestige,2006,U,130 min,"Drama, Mystery, Sci-Fi",8.5,53089891
The Departed,2006,A,151 min,"Crime, Drama, Thriller",8.5,132384315
The Pianist,2002,R,150 min,"Biography, Drama, Music",8.5,32572577
Gladiator,2000,UA,155 min,"Action, Adventure, Drama",8.5,187705427
American History X,1998,R,119 min,Drama,8.5,6719864
The Usual Suspects,1995,A,106 min,"Crime, Mystery, Thriller",8.5,23341568
Léon,1994,A,110 min,"Action, Crime, Drama",8.5,19501238
The Lion King,1994,U,88 min,"Animation, Adventure, Drama",8.5,422783777
Terminator 2: Judgment Day,1991,U,137 min,"Action, Sci-Fi",8.5,204843350
Nuovo Cinema Paradiso,1988,U,155 min,"Drama, Romance",8.5,11990401
Hotaru no haka,1988,U,89 min,"Animation, Drama, War",8.5,
Back to the Future,1985,U,116 min,"Adventure, Comedy, Sci-Fi",8.5,210609762
Once Upon a Time in the West,1968,U,165 min,Western,8.5,5321508
Psycho,1960,A,109 min,"Horror, Mystery, Thriller",8.5,32000000
