DataYear,Region,HappinessScore,LifeExpectancy
2019,Finland,7.769,0.986
2019,Denmark,7.6,0.996
2019,Norway,7.554,1.028
2019,Iceland,7.494,1.026
2019,Netherlands,7.488,0.999
2019,Switzerland,7.48,1.052
2019,Sweden,7.343,1.009
2019,Canada,7.278,1.039
2019,Austria,7.246,1.016
2015,Finland,7.406,0.88911
2015,Denmark,7.527,0.87464
2015,Norway,7.522,0.88521
2015,Iceland,7.561,0.94784
2015,Netherlands,7.378,0.89284
2015,Switzerland,7.587,0.94143
2015,Canada,7.427,0.90563
2015,Sweden,7.364,0.91087
2015,Austria,7.2,0.89042
2016,Denmark,7.526,0.79504
2016,Switzerland,7.509,0.86303
2016,Iceland,7.501,0.86733
2016,Norway,7.498,0.79579
2016,Finland,7.413,0.81091
2016,Canada,7.404,0.8276
2016,Austria,7.119,0.80565
2016,Sweden,7.291,0.83121
2016,Netherlands,7.339,0.81231
2017,Norway,7.537000179,0.796666503
2017,Denmark,7.521999836,0.792565525
2017,Iceland,7.504000187,0.833552122
2017,Switzerland,7.493999958,0.858131289
2017,Finland,7.468999863,0.80915767
2017,Netherlands,7.376999855,0.810696125
2017,Canada,7.315999985,0.834557652
2017,Sweden,7.28399992,0.830875158
2017,Austria,7.006000042,0.815328419
2018,Finland,7.632,0.874
2018,Norway,7.594,0.861
2018,Denmark,7.555,0.868
2018,Iceland,7.495,0.914
2018,Switzerland,7.487,0.927
2018,Netherlands,7.441,0.878
2018,Canada,7.328,0.896
2018,Sweden,7.314,0.913
2018,Austria,7.139,0.891
