CLIENTNUM,Attrition_Flag,DOB_Year,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Months_Inactive_12_mon,Credit_Limit,Total_Trans_Ct,Avg_Utilization_Ratio
768805383,Existing Customer,1976,M,3,High School,Married,$60K - $80K,Blue,39,1,12691,42,0.061
818770008,Existing Customer,1972,F,5,Graduate,Single,Less than $40K,Blue,44,1,8256,33,0.105
713982108,Existing Customer,1970,M,3,Graduate,Married,$80K - $120K,Blue,36,1,3418,20,0
769911858,Existing Customer,1981,F,4,High School,Unknown,Less than $40K,Blue,34,4,3313,20,0.76
709106358,Existing Customer,1981,M,3,Uneducated,Married,$60K - $80K,Blue,21,1,4716,28,0
713061558,Existing Customer,1977,M,2,Graduate,Married,$40K - $60K,Blue,36,1,4010,24,0.311
810347208,Existing Customer,1970,M,4,Unknown,Married,$120K +,Gold,46,1,34516,31,0.066
818906208,Existing Customer,1989,M,0,High School,Unknown,$60K - $80K,Silver,27,2,29081,36,0.048
710930508,Existing Customer,1984,M,3,Uneducated,Single,$60K - $80K,Blue,36,2,22352,24,0.113
719661558,Existing Customer,1973,M,2,Graduate,Single,$80K - $120K,Blue,36,3,11656,32,0.144
708790833,Existing Customer,1979,M,5,Uneducated,Unknown,$120K +,Blue,31,3,6748,42,0.217
710821833,Existing Customer,1956,M,1,Unknown,Married,$40K - $60K,Blue,54,2,9095,26,0.174
710599683,Existing Customer,1965,M,1,College,Single,$80K - $120K,Blue,36,6,11751,17,0
816082233,Existing Customer,1986,M,3,Graduate,Unknown,$60K - $80K,Blue,30,1,8547,33,0.195
712396908,Existing Customer,1964,F,2,Graduate,Married,Less than $40K,Blue,48,2,2436,29,0.279
714885258,Existing Customer,1977,M,4,Unknown,Unknown,$80K - $120K,Blue,37,1,4234,27,0.23
709967358,Existing Customer,1973,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,2,30367,27,0.078
753327333,Existing Customer,1980,M,3,Unknown,Married,$80K - $120K,Blue,34,4,13535,21,0.095
806160108,Existing Customer,1960,M,1,High School,Married,$40K - $60K,Blue,56,2,3193,30,0.788
709327383,Existing Customer,1976,F,2,Graduate,Married,Unknown,Blue,37,1,14470,21,0.08
806165208,Existing Customer,1974,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,2,20979,27,0.086
708508758,Attrited Customer,1959,F,0,Graduate,Married,Less than $40K,Blue,49,3,1438.3,16,0
784725333,Existing Customer,1980,M,3,High School,Married,$40K - $60K,Blue,33,2,4470,18,0.152
811604133,Existing Customer,1974,F,4,Unknown,Single,Less than $40K,Blue,36,3,2492,23,0.626
789124683,Existing Customer,1967,M,2,Unknown,Married,$80K - $120K,Blue,42,2,12217,21,0
771071958,Existing Customer,1980,F,3,Graduate,Single,Less than $40K,Blue,28,1,7768,22,0.215
720466383,Existing Customer,1962,M,1,High School,Unknown,$40K - $60K,Blue,46,1,14784,23,0.093
804424383,Existing Customer,1958,M,1,Unknown,Married,$60K - $80K,Blue,56,3,10215,40,0.099
718813833,Existing Customer,1977,F,3,Uneducated,Single,Unknown,Blue,34,2,10100,18,0
806624208,Existing Customer,1974,M,4,High School,Married,$40K - $60K,Blue,42,0,4785,38,0.285
778348233,Existing Customer,1968,M,3,Unknown,Married,$80K - $120K,Blue,33,2,2753,25,0.658
712991808,Existing Customer,1968,M,2,Uneducated,Married,$60K - $80K,Blue,48,5,2451,26,0.69
709029408,Existing Customer,1980,M,4,Graduate,Married,$60K - $80K,Blue,36,1,8923,24,0.282
